Reservation_ID,Date,Time,Online,Customer_ID,No_show,count_persons
1,2025-05-11,23:00,False,QR9690,False,3
2,2024-12-31,23:00,False,EK9536,False,2
3,2025-04-17,16:00,False,SK4478,False,8
4,2025-02-18,15:00,False,AI9507,False,2
5,2025-03-17,13:30,True,IB8996,False,2
6,2025-01-12,19:00,False,BA2226,True,2
7,2025-05-21,18:00,False,AV6273,False,7
8,2025-03-08,14:30,False,NZ9559,False,8
9,2024-12-10,16:30,True,SA2695,False,4
10,2025-05-21,23:00,True,DL3866,False,7
11,2025-05-02,16:00,True,EK7843,False,5
12,2025-04-27,21:00,True,AI8824,False,2
13,2025-02-28,11:30,True,AI3208,False,4
14,2025-03-16,13:30,True,LH4339,False,8
15,2025-02-06,19:00,True,LH5968,False,4
16,2025-03-20,16:00,True,AI1298,False,6
17,2025-01-07,13:30,False,SK8608,False,4
18,2025-03-07,22:00,True,AA7634,False,5
19,2025-05-14,13:30,True,AZ1957,False,8
20,2025-05-03,18:00,False,AM1251,True,5
21,2025-02-28,22:00,True,NZ7086,False,8
22,2025-03-31,14:30,False,QR5279,False,4
23,2025-05-11,12:30,False,IB9186,False,7
24,2025-05-06,16:30,True,UA5241,False,3
25,2025-04-19,14:00,True,KE1663,False,2
26,2025-05-16,15:00,False,TG5589,False,3
27,2025-05-15,22:30,True,SK4886,True,4
28,2025-03-16,20:30,False,EK1651,False,5
29,2025-04-03,16:30,False,AA4958,False,3
30,2025-01-08,12:00,True,BA3590,False,5
31,2025-03-26,18:30,False,UA4772,False,3
32,2024-12-30,17:30,False,AM8781,False,3
33,2025-03-17,18:00,False,SK2568,False,2
34,2025-01-23,13:30,True,DL5388,True,5
35,2024-12-04,23:00,False,LA3959,True,8
36,2025-01-01,20:30,False,AM5855,False,5
37,2025-02-28,14:00,False,NH2223,False,4
38,2025-03-03,23:00,False,SK5314,True,3
39,2025-02-10,12:30,True,SK6736,False,5
40,2025-03-25,15:00,True,NZ2820,False,4
41,2025-05-24,13:00,True,AA4577,False,5
42,2025-02-28,11:00,True,BA3590,False,7
43,2025-05-19,17:00,True,AZ4962,False,8
44,2025-05-22,20:30,True,SQ4603,False,4
